Tópico,Palavras,Pesos
0,"grupo, canal, abaixo, verdade, vpn, poder, 3, dentro, oficial, b","[0.015988091006875038, 0.012962390668690205, 0.006758783012628555, 0.006684877909719944, 0.006346147507429123, 0.005871924571692944, 0.00559742096811533, 0.00467888917773962, 0.0043630339205265045, 0.004304086323827505]"
1,"13, intervencao, 22, militar, rua, pau, mao, bolsonaro, presidente, federal","[0.12448844313621521, 0.05460965633392334, 0.02875450812280178, 0.02657429128885269, 0.02223164215683937, 0.018887624144554138, 0.018844427540898323, 0.01721307449042797, 0.01679634302854538, 0.01483211386948824]"
2,"55, militar, batalhao, sp, rua, centro, comando, rs, frente, infantaria","[0.022184057161211967, 0.011170903220772743, 0.010619846172630787, 0.010352304205298424, 0.010162629187107086, 0.00862126611173153, 0.008205977268517017, 0.00718771992251277, 0.00670255022123456, 0.006496902089565992]"
3,"telegram, ganhar, welcome, professional, groups, tool, managing, dinheiro, grupo, comecar","[0.02615315653383732, 0.017487330362200737, 0.01645718328654766, 0.016259167343378067, 0.01625802181661129, 0.016224827617406845, 0.01622253842651844, 0.015568967908620834, 0.014731114730238914, 0.014572014100849628]"
4,"bolsonaro, brasil, todos, lula, presidente, estao, povo, agora, vamos, pessoas","[0.012264122255146503, 0.00819872785359621, 0.007422947324812412, 0.00619068369269371, 0.005779564380645752, 0.0056548696011304855, 0.005593727808445692, 0.0055525279603898525, 0.004766667261719704, 0.004301856271922588]"
5,"tse, superior, brazil, following, decision, court, electoral, community, lula, is","[0.024527493864297867, 0.022596294060349464, 0.022100577130913734, 0.021635612472891808, 0.021543357521295547, 0.021511375904083252, 0.021480625495314598, 0.021472014486789703, 0.009525629691779613, 0.008707636967301369]"
