Tópico,Palavras,Pesos
0,"13, lula, rua, militar, bolsonaro, sp, vpn, intervencao, pl, presidente","[0.02766376920044422, 0.009874071925878525, 0.007847213186323643, 0.007461919449269772, 0.005889337044209242, 0.0041316794231534, 0.00404531043022871, 0.003940434195101261, 0.0032332211267203093, 0.0031737724784761667]"
1,"bolsonaro, brasil, grupo, todos, presidente, tse, lula, povo, deus, pode","[0.008986602537333965, 0.006484880577772856, 0.006373946089297533, 0.005236407741904259, 0.005152128636837006, 0.004476661793887615, 0.004382983781397343, 0.004163426347076893, 0.004072675947099924, 0.003988242708146572]"
