Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9961452915098035,0.996186730506156,0.03281288807604597,0.020974933421189904,0.2038630229419703,0.09523809523809523,0.05593909198829698,0.033429546626864357
BOW Bigram,Gradiente Boosting,None,0.9967723065975529,0.9969847241222072,0.03308488080546904,0.02384221737605196,0.16961875843454793,0.09523809523809523,0.05508770732373217,0.03770327441321356
BOW Trigram,Gradiente Boosting,None,0.9968008082987211,0.9968935248518012,0.03542321953714359,0.021275787966028418,0.1801450742240216,0.08571428571428572,0.058956010569476816,0.03362542131606742
TF-IDF Unigram,Gradiente Boosting,None,0.9977983328096395,0.998016415868673,0.011227255129694153,0.027286625032526667,0.0293859649122807,0.06666666666666667,0.015909943714821764,0.03847191486863307
TF-IDF Bigram,Gradiente Boosting,None,0.9919414614220494,0.9922081623347013,0.013900076479381965,0.009920036069467494,0.18130904183535762,0.12380952380952381,0.025771639215825738,0.018353135707221312
TF-IDF Trigram,Gradiente Boosting,None,0.9891911505723406,0.9895348837209303,0.015429506312823573,0.01185414496245947,0.2726045883940621,0.2,0.029110217720144816,0.022379523095246885
Word2Vec,Gradiente Boosting,None,0.9977413233151351,0.9978910168718651,0.006095481670929241,0.05816037735849057,0.035526315789473684,0.07619047619047618,0.010383264620552756,0.052904493407714505
