Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.9431559235997942,0.9429491564067487,0.0036716729509646577,0.00379222325235707,0.30172064777327934,0.30476190476190473,0.007211659834915186,0.007437196023148872
BOW Bigram,Decision Tree,None,0.9898609093274306,0.9897286821705427,0.0035748031496062997,0.006112738786006112,0.06826923076923078,0.10476190476190475,0.0067785385697898565,0.011494874511392273
BOW Trigram,Decision Tree,None,0.9887849793735051,0.9888394892840857,0.005532423373973867,0.004989888996775225,0.1209008097165992,0.10476190476190475,0.010561455345878669,0.009523459817189587
TF-IDF Unigram,Decision Tree,None,0.9593369573526523,0.9600490196078431,0.0033131687039381673,0.0035578415065179655,0.22169365721997303,0.22857142857142856,0.006487227847083378,0.006960573666008156
TF-IDF Bigram,Decision Tree,None,0.9934092830402681,0.9930061559507525,0.015263274336283184,0.006942249429685955,0.11143724696356276,0.047619047619047616,0.026594016814564376,0.01192074399270429
TF-IDF Trigram,Decision Tree,None,0.9821015804823074,0.9820052439580482,0.011283673665036908,0.0077529912231492654,0.0293859649122807,0.047619047619047616,0.014883577960501038,0.009947634435262096
Word2Vec,Decision Tree,None,0.9933949441070856,0.9935476516187871,0.01074874170971488,0.0173041965302299,0.12751349527665318,0.1333333333333333,0.019355079229697154,0.030114769113720564
