Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.804324539800471,0.8044630642954858,0.006523505229216023,0.0028266949055488224,0.2645411605937921,0.26666666666666666,0.011516253643783697,0.005058571187392511
BOW Bigram,Decision Tree Regularizado,None,0.9529588504626932,0.9534655722754218,3.175611305176246e-05,0.0016593110773344077,0.0125,0.10476190476190475,6.335128286347799e-05,0.003118047656707251
BOW Trigram,Decision Tree Regularizado,None,0.9990523617159368,0.9990823073415414,0.0,0.00967741935483871,0.0,0.02857142857142857,0.0,0.014457831325301203
TF-IDF Unigram,Decision Tree Regularizado,None,0.986333976492836,0.9867989056087552,0.0012253875396809049,0.001994851994851995,0.05748987854251012,0.09523809523809523,0.0023937282229965157,0.003888924084046035
TF-IDF Bigram,Decision Tree Regularizado,None,0.9893263172539989,0.9890218878248973,0.0004228329809725159,0.0002191780821917808,0.0375,0.019047619047619046,0.0008362369337979094,0.0004333694474539545
TF-IDF Trigram,Decision Tree Regularizado,None,0.9939579355840282,0.9939523483812129,0.011764705882352941,0.02044943820224719,0.015384615384615385,0.03809523809523809,0.013333333333333332,0.020390350994618618
Word2Vec,Decision Tree Regularizado,None,0.837945440648619,0.8406349749202006,0.001692951997185056,0.0015329870317041649,0.46524966261808365,0.3904761904761904,0.0033726653124664155,0.003053187761516403
