Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,MaxAbsScaler,0.9870108237394483,0.9879787961696307,0.01274266372640812,0.015394855917256891,0.3111336032388664,0.26666666666666666,0.024424624080716544,0.028379390019780276
BOW Bigram,Logistic Regression,MaxAbsScaler,0.9958745372792019,0.9960214318285454,0.019319462926774222,0.028963948917547732,0.12506747638326585,0.14285714285714285,0.03328224453837903,0.0461597972077796
BOW Trigram,Logistic Regression,MaxAbsScaler,0.9963447983411736,0.9965971272229822,0.017367689781482887,0.031540767841125555,0.0934885290148448,0.13333333333333333,0.029122109587225865,0.04935118463988711
TF-IDF Unigram,Logistic Regression,MaxAbsScaler,0.9947131329364531,0.9949327405380757,0.018117889830291747,0.02452915919906042,0.14520917678812414,0.1714285714285714,0.03196973763208274,0.04193648735733936
TF-IDF Bigram,Logistic Regression,MaxAbsScaler,0.9968221844476771,0.9970132238942089,0.026722526722526722,0.03298589065255732,0.10877192982456141,0.13333333333333333,0.04247812359707677,0.05226134530947365
TF-IDF Trigram,Logistic Regression,MaxAbsScaler,0.9970430636203981,0.9970987232102144,0.020229885057471263,0.03497486531760991,0.07324561403508771,0.13333333333333333,0.03152277491900134,0.054446119117895486
Word2Vec,Logistic Regression,MaxAbsScaler,0.986697337518162,0.987420200638395,0.015884275677486626,0.014769749157686746,0.32918353576248316,0.30476190476190473,0.03017932540073387,0.028169934842938477
