Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,MaxAbsScaler,0.9867044447938698,0.9878077975376197,0.012919271476520906,0.013947370075606494,0.3265182186234818,0.23809523809523805,0.024802774349459093,0.02567194071061421
BOW Bigram,Logistic Regression l1,MaxAbsScaler,0.9957961600124726,0.9960214318285454,0.018809769334595373,0.024474447831225328,0.12506747638326585,0.11428571428571428,0.03251070413893372,0.03879323500440581
BOW Trigram,Logistic Regression l1,MaxAbsScaler,0.9963875483545225,0.9965857273141815,0.01674760672172234,0.03605092737722048,0.09568151147098516,0.13333333333333333,0.02832114648047355,0.052747992530621436
TF-IDF Unigram,Logistic Regression l1,MaxAbsScaler,0.9964730521888253,0.996859325125399,0.020548469704880536,0.034664089184780644,0.1035425101214575,0.15238095238095237,0.033954249862612196,0.056053029304144054
TF-IDF Bigram,Logistic Regression l1,MaxAbsScaler,0.9970216889944842,0.9972241222070224,0.02467044831920585,0.03658265085704988,0.09627192982456141,0.13333333333333333,0.039012115563839704,0.05651435342003288
TF-IDF Trigram,Logistic Regression l1,MaxAbsScaler,0.9970573147248224,0.9971671226630188,0.025023092849179807,0.03418170348525078,0.09627192982456141,0.12380952380952381,0.03945335710041593,0.05257308600683579
Word2Vec,Logistic Regression l1,MaxAbsScaler,0.9889203828882012,0.9894493844049247,0.012685578853549356,0.0171319874348487,0.22319500674763834,0.2952380952380952,0.02387967714842238,0.032366267735453015
