Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9960882893766687,0.9962380300957593,0.030437425614782677,0.023787398518414545,0.19067139001349526,0.11428571428571428,0.0520480141097702,0.03865600873423298
BOW Bigram,Gradiente Boosting L1,None,0.9966796777187185,0.9968992248062015,0.03421899224806201,0.019533385546012718,0.1801450742240216,0.07619047619047618,0.05704345080125304,0.030615456828509923
BOW Trigram,Gradiente Boosting L1,None,0.996729555822683,0.9968194254445966,0.02863226959027637,0.02273070103510691,0.14242577597840755,0.09523809523809523,0.047318050801657366,0.03607412461639641
TF-IDF Unigram,Gradiente Boosting L1,None,0.9977983320481186,0.9979423164614684,0.011430823807646828,0.033199334412429005,0.0293859649122807,0.08571428571428572,0.0162265595101416,0.047565949702837576
TF-IDF Bigram,Gradiente Boosting L1,None,0.9918060815145049,0.9921625626994984,0.013519518974722774,0.009857069914155471,0.17714237516869097,0.12380952380952381,0.025066580274814565,0.018245577799231402
TF-IDF Trigram,Gradiente Boosting L1,None,0.9889417714753339,0.9892612859097127,0.01643358938576244,0.011540289421085486,0.29851551956815114,0.2,0.031056217666825026,0.02182010444126454
Word2Vec,Gradiente Boosting L1,None,0.9987958540206335,0.9988543091655269,0.020634920634920634,0.09502848029163817,0.023026315789473683,0.09523809523809523,0.021621621621621623,0.09442371581906465
