Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.9500807132324672,0.9497549019607842,0.004993853268193341,0.004239282379748142,0.33729757085020245,0.27619047619047615,0.00977736279606212,0.008306686501831275
BOW Bigram,Decision Tree,None,0.965813489057952,0.9666096671226629,0.0031191899498839034,0.00383493264306008,0.17122132253711203,0.2,0.006114573471353367,0.007516440083668839
BOW Trigram,Decision Tree,None,0.9786887851801612,0.9787334701322388,0.012838505873597871,0.00812340120068472,0.2867240215924426,0.19047619047619044,0.022953247880179804,0.015041020069973215
TF-IDF Unigram,Decision Tree,None,0.9628064296184565,0.9623860009119927,0.0033016758970167365,0.0010309159866323252,0.19289811066126855,0.09523809523809523,0.0064446148084477935,0.0020385716297935245
TF-IDF Bigram,Decision Tree,None,0.9742283486532113,0.97421910624715,0.003428362952031207,0.005184100134229315,0.13007759784075573,0.18095238095238092,0.006502394532067937,0.009910651582179419
TF-IDF Trigram,Decision Tree,None,0.9933094537263208,0.9934564523483813,0.0042992613539406645,0.008908238809172467,0.04477058029689608,0.047619047619047616,0.007667234009164995,0.014493467812901914
Word2Vec,Decision Tree,None,0.9941074815594829,0.9943570451436388,0.008554076003546945,0.012726308158302075,0.06538461538461539,0.09523809523809523,0.014666453367461207,0.022270972862499995
