Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,MaxAbsScaler,0.9921124508141504,0.9924076607387142,0.009911109367526372,0.011855663285531953,0.13628542510121458,0.11428571428571428,0.018423693145224712,0.021039043862239464
BOW Bigram,Logistic Regression l1,MaxAbsScaler,0.9944566229565869,0.9945394436844506,0.010142211589580011,0.02394877763298816,0.09787449392712551,0.10476190476190475,0.018279970824788463,0.03259067266475206
BOW Trigram,Logistic Regression l1,MaxAbsScaler,0.994577749728984,0.9948016415868673,0.008073959938366718,0.018054433617140243,0.07901484480431849,0.09523809523809523,0.014565779528185543,0.025527108570770674
TF-IDF Unigram,Logistic Regression l1,MaxAbsScaler,0.9972781951667453,0.9973438212494301,0.012,0.02921317623162803,0.03771929824561403,0.10476190476190475,0.018034447821681863,0.045385332674489305
TF-IDF Bigram,Logistic Regression l1,MaxAbsScaler,0.9962094400100583,0.9961468308253535,0.023489077023789044,0.017404001174465018,0.1228744939271255,0.08571428571428572,0.039095425688651375,0.028547410949534537
TF-IDF Trigram,Logistic Regression l1,MaxAbsScaler,0.9970573210708309,0.9970702234382125,0.02891948366710424,0.028965899897229568,0.13340080971659918,0.08571428571428572,0.04676720354721648,0.04040668566553442
Word2Vec,Logistic Regression l1,MaxAbsScaler,0.9881152343257936,0.9879730962152303,0.012538934390281933,0.015195527908477988,0.24434885290148448,0.29523809523809524,0.023723964191430833,0.028888341991310434
