Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.9892269253069592,0.9893866849065208,0.0009715475364330326,0.0004532577903682719,0.07368421052631578,0.03809523809523809,0.0019178082191780824,0.0008958566629339306
BOW Bigram,Decision Tree Regularizado,None,0.997613039260483,0.9977143182854536,0.00234375,0.001986754966887417,0.0375,0.02857142857142857,0.004411764705882353,0.0037151702786377707
BOW Trigram,Decision Tree Regularizado,None,0.9993088602729878,0.9992647058823529,0.0,0.014285714285714285,0.0,0.019047619047619046,0.0,0.016326530612244896
TF-IDF Unigram,Decision Tree Regularizado,None,0.9993943638534504,0.9994015047879617,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Bigram,Decision Tree Regularizado,None,0.9993943638534504,0.9994015047879617,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Trigram,Decision Tree Regularizado,None,0.9979265523888452,0.9977998176014593,0.005504587155963303,0.0014035087719298247,0.075,0.019047619047619046,0.010256410256410256,0.0026143790849673205
Word2Vec,Decision Tree Regularizado,None,0.8559867339484029,0.8581167350661195,0.002225072101841587,0.002609157962057207,0.473363697705803,0.6,0.0044273347944780855,0.005194059799199331
