Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,MaxAbsScaler,0.9869039432485088,0.9879046967624259,0.01229774225518379,0.01730727161752769,0.29158232118758437,0.27619047619047615,0.0235446072285042,0.03152606104682403
BOW Bigram,Logistic Regression,MaxAbsScaler,0.9963732944578544,0.996545827633379,0.027736117482033994,0.03374503049747326,0.1410425101214575,0.15238095238095237,0.045944981029649216,0.05413514460710073
BOW Trigram,Logistic Regression,MaxAbsScaler,0.9968934321007484,0.9970645234838121,0.020545454545454544,0.03762411408469264,0.07105263157894737,0.14285714285714285,0.03171905975644294,0.05890229051727154
TF-IDF Unigram,Logistic Regression,MaxAbsScaler,0.9965158044867373,0.9967453260373917,0.02144668901168584,0.030872846049220127,0.0991565452091768,0.14285714285714285,0.03484537531322284,0.050432832447836175
TF-IDF Bigram,Logistic Regression,MaxAbsScaler,0.9967865587173387,0.9968878248974008,0.029303273862097395,0.027630212472578287,0.1261302294197031,0.11428571428571428,0.04699772792664271,0.04386498172520605
TF-IDF Trigram,Logistic Regression,MaxAbsScaler,0.9970430656511209,0.9970018239854082,0.0312978850869761,0.02925091127572866,0.1261302294197031,0.11428571428571428,0.04972449153849025,0.04585056395320336
Word2Vec,Logistic Regression,MaxAbsScaler,0.9842605199972692,0.9846899224806203,0.016018535720862898,0.012572755786717637,0.38137651821862345,0.3142857142857143,0.030590630774768368,0.02416873775090107
