Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9933522248084181,0.9937357501139992,0.01773179062929703,0.017533047419346647,0.2058367071524966,0.14285714285714285,0.03249140155496969,0.030365838589949522
BOW Bigram,Gradiente Boosting,None,0.9935944793685743,0.9940435476516187,0.016920357867131867,0.01791292601804153,0.18340080971659917,0.11428571428571428,0.03087306950861385,0.029396085677859653
BOW Trigram,Gradiente Boosting,None,0.9937654817065326,0.9942088463292293,0.01735874830298685,0.018661337608206676,0.18559379217273955,0.12380952380952381,0.0316248838050658,0.030960750016485034
TF-IDF Unigram,Gradiente Boosting,None,0.9957462880006764,0.9961981304149568,0.01084736298268626,0.028524050533892183,0.07553981106612687,0.15238095238095237,0.01849672537242526,0.047218724981435305
TF-IDF Bigram,Gradiente Boosting,None,0.9905520564158128,0.9912106703146375,0.011895156515217305,0.009935258698120428,0.18130904183535762,0.1333333333333333,0.02229378628984264,0.018477501783900487
TF-IDF Trigram,Gradiente Boosting,None,0.988386013686589,0.9891130870953033,0.012490410077884205,0.01203405613652987,0.2447199730094467,0.20952380952380953,0.02373633027610155,0.02275627562911153
Word2Vec,Gradiente Boosting,None,0.9991164848321574,0.9991450068399453,0.0,0.0719047619047619,0.0,0.03809523809523809,0.0,0.048284236089114134
