Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9932738452571259,0.9937528499772001,0.018503430264387145,0.016216455154369053,0.20931174089068824,0.13333333333333333,0.033822069708107555,0.028255173004960783
BOW Bigram,Gradiente Boosting L1,None,0.9936586068000807,0.9938896488828088,0.017937399483612483,0.01820028506257198,0.19392712550607288,0.12380952380952381,0.03275578427820637,0.030187326327499882
BOW Trigram,Gradiente Boosting L1,None,0.9935232284155783,0.9938896488828088,0.017531415852375307,0.019309059567795432,0.19392712550607288,0.14285714285714285,0.03207210314833633,0.032623628215175074
TF-IDF Unigram,Gradiente Boosting L1,None,0.995739162956145,0.9961411308709531,0.01493607140887955,0.017282340529245075,0.09439946018893387,0.09523809523809523,0.025122222986450237,0.02879059992817711
TF-IDF Bigram,Gradiente Boosting L1,None,0.990388179122386,0.9910681714546283,0.012382345174283002,0.0096803452544092,0.1918353576248313,0.13333333333333333,0.02323626673915809,0.018032293597327477
TF-IDF Trigram,Gradiente Boosting L1,None,0.9880012582358024,0.9887596899224806,0.012845326724696706,0.011588540521513651,0.2601045883940621,0.20952380952380953,0.02445146217668375,0.021960148732239188
Word2Vec,Gradiente Boosting L1,None,0.9991521100548152,0.9990652074783402,0.025,0.05314009661835748,0.0125,0.02857142857142857,0.016666666666666666,0.03575757575757575
