Vectorizer,Model,Scaler,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
Word2Vec,Polynomial Regression (Grau 2),None,29.062652015686034,5.109016630273929,2.0432101011276247,-0.016725492477416993,407271.13125,638.1779776878893,25.33950080871582,-0.0013305187225341798
Word2Vec,Polynomial Regression (Grau 2),Min-Max,29.079751014709473,5.115095618993376,2.05457124710083,-0.02104567289352417,407265.275,638.1733894089136,25.365436172485353,-0.0013161182403564453
Word2Vec,Polynomial + Ridge,None,111.27569122314453,10.517818182730082,6.033286762237549,-4.542933011054993,407328.28125,638.2227506151156,29.36395263671875,-0.0014710426330566406
Word2Vec,Polynomial + Ridge,Min-Max,34.45260391235352,5.656618441895125,2.607033395767212,-0.3017695188522339,407287.84375,638.191071358757,25.746706771850587,-0.0013716459274291993
