class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,OneVsRestClassifier,None,0.3239912967608627,0.32709343492483994,0.4675326636607913,0.4686642453591606,0.40564344881457454,0.40623379172637364,0.589908404695856,0.5820105548634766,0.630746340538977,0.628207810320781,0.545990863933329,0.5430066739509686,0.4675326636607913,0.4686642453591606,0.5387687231933109,0.5422443328338736
0,BOW Trigram,OneVsRestClassifier,None,0.2985795678626457,0.3050987522412741,0.44219138309379247,0.4461662631154157,0.3681333757288416,0.3745942096407333,0.5601086360699452,0.5829913593648572,0.5717007000460238,0.575557880055788,0.48648020933991326,0.49305031372433483,0.44219138309379247,0.4461662631154157,0.5323821830430397,0.5373431883937664
0,BOW Unigram,OneVsRestClassifier,None,0.3756353489740135,0.3789377258372058,0.5162184851983441,0.5170298627925747,0.4826512009682102,0.48460139114647643,0.6098478889252702,0.6111214481208009,0.748474104851591,0.7464783821478382,0.6705188916431492,0.6704894905996439,0.5162184851983441,0.5170298627925747,0.5526004081425027,0.5550463023484196
0,TF-IDF Bigram,OneVsRestClassifier,None,0.33231129756270056,0.33855358230868776,0.48789043800033927,0.48904358353510896,0.43003210509186196,0.43326859245776356,0.5978824693749558,0.5993427577645042,0.6924435496166347,0.6878661087866109,0.5975186768196289,0.5960839912118127,0.48789043800033927,0.48904358353510896,0.5376939735626086,0.5406314693244847
0,TF-IDF Trigram,OneVsRestClassifier,None,0.3563464615622815,0.3589906335718922,0.5330399866897383,0.5321832122679581,0.4790364682130674,0.4797264550962305,0.6017577726923394,0.601274060218371,0.8142390472648618,0.8087866108786611,0.6914136254038474,0.6891201976283192,0.5330399866897383,0.5321832122679581,0.5385541333190722,0.5427667260307161
0,TF-IDF Unigram,OneVsRestClassifier,None,0.36559843391252067,0.36812911895281436,0.47944117888926857,0.47849071832122675,0.4541869627238636,0.4549135814653169,0.6100551530234033,0.6080353382370697,0.6501648734488346,0.6449442119944212,0.6080537015777401,0.6058673026340328,0.47944117888926857,0.47849071832122675,0.5485899902622372,0.5515598889264833
0,Word2Vec,OneVsRestClassifier,None,0.36012111474329217,0.3628586634550827,0.38476113365422204,0.38619854721549635,0.4036251275633395,0.4043758543300489,0.621137864747576,0.618933839385606,0.39034224313953475,0.3877266387726639,0.4790806457986287,0.4764771997725667,0.38476113365422204,0.38619854721549635,0.5503351835786174,0.5567016004380012
1,BOW Bigram,OneVsRestClassifier,None,0.3239912967608627,0.32709343492483994,0.4675326636607913,0.4686642453591606,0.40564344881457454,0.40623379172637364,0.24566495604100513,0.2370857347838989,0.3157905855945072,0.3164647824136384,0.21054929858997548,0.20774575388512437,0.4675326636607913,0.4686642453591606,0.5387687231933109,0.5422443328338736
1,BOW Trigram,OneVsRestClassifier,None,0.2985795678626457,0.3050987522412741,0.44219138309379247,0.4461662631154157,0.3681333757288416,0.3745942096407333,0.24134254207832032,0.2506985470007575,0.3710100066962812,0.3733512786002692,0.21865685376996238,0.22244097665305673,0.44219138309379247,0.4461662631154157,0.5323821830430397,0.5373431883937664
1,BOW Unigram,OneVsRestClassifier,None,0.3756353489740135,0.3789377258372058,0.5162184851983441,0.5170298627925747,0.4826512009682102,0.48460139114647643,0.24776898340733425,0.24620478731483758,0.14708560865423612,0.1471511888739345,0.1751897688379414,0.17556401612306724,0.5162184851983441,0.5170298627925747,0.5526004081425027,0.5550463023484196
1,TF-IDF Bigram,OneVsRestClassifier,None,0.33231129756270056,0.33855358230868776,0.48789043800033927,0.48904358353510896,0.43003210509186196,0.43326859245776356,0.25195785918684277,0.2513362216606799,0.26111856190287563,0.2680125616868551,0.20341646852535852,0.20746301941400247,0.48789043800033927,0.48904358353510896,0.5376939735626086,0.5406314693244847
1,TF-IDF Trigram,OneVsRestClassifier,None,0.3563464615622815,0.3589906335718922,0.5330399866897383,0.5321832122679581,0.4790364682130674,0.4797264550962305,0.2569036144611618,0.2546133683299003,0.1301642003602788,0.13153880663974876,0.16679799095506373,0.16704930286068528,0.5330399866897383,0.5321832122679581,0.5385541333190722,0.5427667260307161
1,TF-IDF Unigram,OneVsRestClassifier,None,0.36559843391252067,0.36812911895281436,0.47944117888926857,0.47849071832122675,0.4541869627238636,0.4549135814653169,0.24028293215169694,0.24099118574693798,0.2592981165530185,0.260116644235083,0.22233250293777457,0.22421995035632095,0.47944117888926857,0.47849071832122675,0.5485899902622372,0.5515598889264833
1,Word2Vec,OneVsRestClassifier,None,0.36012111474329217,0.3628586634550827,0.38476113365422204,0.38619854721549635,0.4036251275633395,0.4043758543300489,0.24459897357820395,0.2469560814713965,0.3600203717850777,0.36895468820098704,0.2909218062941832,0.2955457621987629,0.38476113365422204,0.38619854721549635,0.5503351835786174,0.5567016004380012
2,BOW Bigram,OneVsRestClassifier,None,0.3239912967608627,0.32709343492483994,0.4675326636607913,0.4686642453591606,0.40564344881457454,0.40623379172637364,0.35428544466510536,0.37500069273905573,0.16017983301220295,0.1728813559322034,0.2154337277592836,0.23052787693842688,0.4675326636607913,0.4686642453591606,0.5387687231933109,0.5422443328338736
